hometown_state,n,total_medals,state.name,state_population,edu_attainment_total,no_schooling,hs_diploma,some_college_lt_1,some_college_gt_1,bachelors,graduate,professional,doctorate,median_household_income,pct_hs_diploma,pct_some_college_lt_1,pct_some_college_gt_1,pct_bachelors,pct_graduate,pct_professional,pct_doctorate,pct_degree,athletes_per_100k,medals_per_100k,medals_per_athlete,is_maryland
AK,2,0,Alaska,734821,485871,3875,114087,36099,85203,93744,39645,9589,6419,86370,23.48092394894941,7.429749871879573,17.536136134900005,19.29401013849355,8.159573220052236,1.9735691160822522,1.3211325639933234,30.748285038621365,0.2721751283645949,0,0,Other
AL,4,3,Alabama,5028092,3428520,45445,864977,219269,507480,572252,261039,56574,42980,59609,25.22887426644733,6.395441764959808,14.801722025830388,16.690933697338796,7.613751706275594,1.6500997514962725,1.2536021373653938,27.208387292476054,0.07955303920453326,0.05966477940339993,0.75,Other
AR,4,2,Arkansas,3018669,2031847,27369,573876,137651,299173,317437,134754,29822,19966,56335,28.244055777821853,6.774673486733991,14.724189370557921,15.623075950108447,6.63209385352342,1.4677286232674014,0.9826527292655401,24.70555115616481,0.1325087314972261,0.06625436574861306,0.5,Other
AZ,15,10,Arizona,7172282,4878959,80113,953769,369906,808921,958447,429317,93897,69793,72581,19.548616825843382,7.581658300469424,16.579786794683045,19.644497934907836,8.799356584058197,1.924529392438018,1.430489577797231,31.798873489201284,0.20913845830378672,0.13942563886919115,0.6666666666666666,Other
CA,137,60,California,39356104,26842698,880931,4837641,1592200,3816058,5935292,2515475,687281,488925,91905,18.022186145371823,5.931594506632679,14.216372735706372,22.111383885479768,9.371170513485641,2.5604020877484075,1.8214450723246969,35.86440155903851,0.3481035622835025,0.1524541148686872,0.43795620437956206,Other
CO,29,12,Colorado,5770790,3982760,50945,660933,245040,550016,1083618,481793,100044,76234,87598,16.594848798320765,6.152517349777542,13.809920758469001,27.207715252739305,12.096962910142715,2.511926402796051,1.9140997700087377,43.73070433568681,0.5025308493291214,0.20794379972239505,0.41379310344827586,Other
CT,11,3,Connecticut,3611317,2520790,37949,570708,136836,277697,573917,341203,81685,46421,90213,22.640045382598313,5.428298271573595,11.016268709412525,22.767346744472963,13.535558297200481,3.240452397859401,1.8415258708579452,41.38488331039079,0.3045980178422443,0.08307218668424843,0.2727272727272727,Other
DE,2,0,Delaware,993635,700364,6745,184812,43967,87027,139213,75033,13180,13931,79325,26.38799252959889,6.2777355774997,12.425967068552923,19.877235266232987,10.713429016911206,1.8818785660028214,1.9891085207120869,34.461651369859105,0.20128115454870246,0,0,Other
FL,46,26,Florida,21634529,15579847,266243,3671306,1026244,1961436,3154240,1308569,372331,202326,67917,23.56445477288705,6.586996650223844,12.589571643418578,20.245641693400454,8.399113290393673,2.389824495709104,1.2986391971628475,32.33321867666608,0.21262307120252075,0.12017825763620738,0.5652173913043478,Other
GA,27,14,Georgia,10722325,7158620,116098,1611827,418865,985474,1464589,669304,165134,108680,71355,22.51588993409344,5.851197577186665,13.766256624880214,20.459096865038234,9.349623251408792,2.306785386010153,1.5181697030992007,33.63367520555638,0.2518110577696535,0.13056869662130183,0.5185185185185185,Other
HI,5,3,Hawaii,1450589,1022529,12474,244486,61936,145130,227243,85984,25539,16217,94814,23.90993311681136,6.0571387217379655,14.193240485110936,22.22362397545693,8.408954660454619,2.49763087403878,1.5859696888792396,34.716179198829565,0.3446875717381009,0.20681254304286054,0.6,Other
IA,7,1,Iowa,3188836,2131202,20405,568254,151796,277459,433380,148289,36031,27629,70571,26.663544797724477,7.122553375982192,13.018897317100867,20.33500343937365,6.957998350226774,1.6906421822051594,1.296404564184906,30.28004853599049,0.21951583587239987,0.03135940512462855,0.14285714285714285,Other
