hometown_state,n,total_medals,state.name,state_population,edu_attainment_total,no_schooling,hs_diploma,some_college_lt_1,some_college_gt_1,bachelors,graduate,professional,doctorate,median_household_income,pct_hs_diploma,pct_some_college_lt_1,pct_some_college_gt_1,pct_bachelors,pct_graduate,pct_professional,pct_doctorate,pct_degree,athletes_per_100k,medals_per_100k,medals_per_athlete,is_maryland
MD,25,71,Maryland,6161707,4260095,68023,885579,259289,513329,952916,590587,135879,119364,98461,20.78777585945853,6.086460513204518,12.049707811680257,22.36842136149546,13.863235444279997,3.1895767582647805,2.801909347092025,42.223142911132264,0.405731723368216,1.1522780943657334,2.84,Maryland
KY,4,18,Kentucky,4502935,3067109,36539,806274,210743,408299,478134,241185,56939,35681,60183,26.287751755806525,6.871063271634624,13.312177689152879,15.589077531969032,7.86359402290561,1.8564387506280347,1.1633430699724072,26.47245337547508,0.08883095136838529,0.3997392811577338,4.5,Other
MN,18,21,Minnesota,5695292,3874392,54955,800667,254016,527184,965593,364292,89655,60300,84313,20.665616695471186,6.5562803144338515,13.606883350987717,24.9224394434017,9.402559162831226,2.3140404997739,1.5563732322387616,38.19541233824559,0.3160505203245066,0.36872560704525775,1.1666666666666667,Other
IN,24,24,Indiana,6784403,4532091,56042,1258288,315006,579487,815853,342003,69602,52190,67173,27.763961491505796,6.9505665265768055,12.786305482392123,18.001690610360647,7.546251829453557,1.5357591010418812,1.1515655797732216,28.23526712062931,0.3537525704177656,0.3537525704177656,1,Other
NE,7,6,Nebraska,1958939,1283285,21604,280742,98332,186066,280101,106137,25032,18160,71722,21.87682393232992,7.6625223547380354,14.49919542424325,21.826873999150617,8.270727079331559,1.950618919413848,1.4151182317256106,33.463338229621634,0.35733629275847795,0.3062882509358382,0.8571428571428571,Other
CO,29,12,Colorado,5770790,3982760,50945,660933,245040,550016,1083618,481793,100044,76234,87598,16.594848798320765,6.152517349777542,13.809920758469001,27.207715252739305,12.096962910142715,2.511926402796051,1.9140997700087377,43.73070433568681,0.5025308493291214,0.20794379972239505,0.41379310344827586,Other
HI,5,3,Hawaii,1450589,1022529,12474,244486,61936,145130,227243,85984,25539,16217,94814,23.90993311681136,6.0571387217379655,14.193240485110936,22.22362397545693,8.408954660454619,2.49763087403878,1.5859696888792396,34.716179198829565,0.3446875717381009,0.20681254304286054,0.6,Other
IL,39,20,Illinois,12757634,8746416,139881,1899480,582890,1149453,1924339,938097,214115,130899,78433,21.71723823792511,6.664329709448991,13.14198867284611,22.001457511282336,10.725501736940023,2.4480312850429247,1.4966015794355083,36.67159211270079,0.3056993169736646,0.15676888049931514,0.5128205128205128,Other
WI,18,9,Wisconsin,5882128,4047831,38573,1071376,269276,540579,852632,319419,70555,53667,72458,26.46790342778639,6.652352827971327,13.354781857246511,21.063922876226798,7.891115019377044,1.7430322560403337,1.3258211620000933,32.02389131364427,0.30601170188748017,0.15300585094374008,0.5,Other
CA,137,60,California,39356104,26842698,880931,4837641,1592200,3816058,5935292,2515475,687281,488925,91905,18.022186145371823,5.931594506632679,14.216372735706372,22.111383885479768,9.371170513485641,2.5604020877484075,1.8214450723246969,35.86440155903851,0.3481035622835025,0.1524541148686872,0.43795620437956206,Other
UT,11,5,Utah,3283809,1959919,21356,383506,154836,327177,468541,173551,36570,29475,86833,19.567441307523424,7.900122403017676,16.69339396168923,23.906141019093134,8.855008803935265,1.8658934374328737,1.5038886811138623,36.130931941575135,0.33497685157693396,0.1522622052622427,0.45454545454545453,Other
NH,4,2,New Hampshire,1379610,997353,7152,229881,60160,114506,236189,116378,19939,16942,90845,23.04911099680855,6.0319666156315765,11.48099018100913,23.68158515590769,11.668687014527453,1.9991918608556851,1.6986964495018315,39.04816048079266,0.2899370111843202,0.1449685055921601,0.5,Other
AZ,15,10,Arizona,7172282,4878959,80113,953769,369906,808921,958447,429317,93897,69793,72581,19.548616825843382,7.581658300469424,16.579786794683045,19.644497934907836,8.799356584058197,1.924529392438018,1.430489577797231,31.798873489201284,0.20913845830378672,0.13942563886919115,0.6666666666666666,Other
GA,27,14,Georgia,10722325,7158620,116098,1611827,418865,985474,1464589,669304,165134,108680,71355,22.51588993409344,5.851197577186665,13.766256624880214,20.459096865038234,9.349623251408792,2.306785386010153,1.5181697030992007,33.63367520555638,0.2518110577696535,0.13056869662130183,0.5185185185185185,Other
NY,31,25,New York,19994379,14021808,356478,2933147,682351,1426247,3033763,1731771,435559,238322,81386,20.918465008221478,4.866355323079592,10.171634071725984,21.636032956662934,12.350554222394145,3.1062969910870266,1.699652427133505,38.79253659727761,0.15504357499675284,0.12503514112641356,0.8064516129032258,Other
FL,46,26,Florida,21634529,15579847,266243,3671306,1026244,1961436,3154240,1308569,372331,202326,67917,23.56445477288705,6.586996650223844,12.589571643418578,20.245641693400454,8.399113290393673,2.389824495709104,1.2986391971628475,32.33321867666608,0.21262307120252075,0.12017825763620738,0.5652173913043478,Other
MO,10,6,Missouri,6154422,4199109,40330,1087681,306712,591834,804597,370034,80507,54700,65920,25.90266173133396,7.304216203961364,14.094275714205084,19.161136326777893,8.812202779208638,1.91724006211794,1.3026573018228391,31.19323646992731,0.16248479548526246,0.09749087729115748,0.6,Other
OH,17,11,Ohio,11774683,8097704,85033,2315749,560069,1040670,1515763,696826,148249,98487,66990,28.597600011064866,6.916392597210271,12.85142060020964,18.718429322682084,8.605229334142123,1.8307535074139534,1.2162336385721186,30.370645802810277,0.1443775598884488,0.09342077404546688,0.6470588235294118,Other
WA,18,7,Washington,7688549,5347314,75599,957379,399854,788146,1244437,569699,123220,92087,90325,17.903923352920735,7.477660747059178,14.739100789667486,23.272188616565252,10.653928308679834,2.304334475215033,1.7221169357176331,37.95256833617775,0.23411439531698372,0.0910444870677159,0.3888888888888889,Other
