sport,athlete,athlete_ids,phase,nbc_internal_title,nbc_short_title,start_date,end_date,last_modified,summary,is_medal_session,network_name,video_url,peacock_destination_url,language,status,stream_type,game_type,game,tags,olympic_unit,event
Gymnastics,"Simone Biles, Sunisa Lee, Jordan Chiles, Jade Carey, Shilese Jones, Skye Blakely, Tiana Sumanasekera, Joscelyn Roberson","1148733, 1651746, 1249770, 1651590, 1491184, 1984225, 2413654, 2399985",,2024 Xfinity U.S. Gymnastics Championships - May 31,Xfinity U.S. Champs: Day 2,2024-06-01T00:00:00Z,2024-06-01T02:00:00Z,2024-05-31T23:59:30Z,Xfinity U.S. Champs Senior Women,FALSE,NA,https://www.peacocktv.com/sports/senior-women-day-1/bd0ddad5-061c-3b61-9c17-c3c87ec19c2f?cid=2401olyparisnbspownedi13326&utm_campaign=2401olyparis&utm_source=oly_nbcoly_st-sv&utm_medium=own_edi_awa_artl&utm_term=nbcolympicssitevisitors&utm_content=gymchampwomensday1,NA,,upcoming,event,olympics,Paris 2024,,,Women's All-Around
Swimming,"Torri Huske, Gretchen Walsh, Regan Smith, Claire Curzan, Alex Walsh, Katie Ledecky, Leah Smith, Katie Grimes, Michael Andrew, Nic Fink, Kieran Smith, Drew Kibler, Carson Foster","1830355, 1512902, 1420438, 1947078, 1420125, 1046885, 1045537, 2203960, 1300676, 961793, 1507961, 1507822, 1507768",,U.S. Olympic Team Trials - Swimming - Jun 15,Heats: M&W 200m Free & more,2024-06-15T14:58:00Z,2024-06-15T17:30:00Z,2024-07-10T18:10:25Z,"Day 1 of the U.S. Olympic Swimming Trials includes heats of the men's and women's 400m freestyle, men's 100m breaststroke and women's 100m butterfly.",FALSE,NA,https://stream.nbcolympics.com/swimming-us-olympic-team-trials-june-15-heats-live,https://peacocktv.smart.link/3m4ts6vo7,,replay,event,olympics,Paris 2024,"Olympic Trials, Road to the Olympics, Team USA",,"Women's 100m Butterfly, Women's 400m Freestyle, Men's 100m Breaststroke, Men's 400m Freestyle"
Swimming,"Torri Huske, Gretchen Walsh, Regan Smith, Claire Curzan, Alex Walsh, Katie Ledecky, Leah Smith, Katie Grimes, Michael Andrew, Nic Fink, Kieran Smith, Drew Kibler, Carson Foster","1830355, 1512902, 1420438, 1947078, 1420125, 1046885, 1045537, 2203960, 1300676, 961793, 1507961, 1507822, 1507768",,U.S. Olympic Team Trials - Swimming - Jun 15,Heats: M&W 200m Free & more,2024-06-15T22:30:00Z,2024-06-16T00:00:00Z,2024-07-10T18:10:25Z,"Day 1 of the U.S. Olympic Swimming Trials includes heats of the men's and women's 400m freestyle, men's 100m breaststroke and women's 100m butterfly.",FALSE,USA,https://stream.nbcolympics.com/swimming-us-olympic-team-trials-june-15-heats-usa,https://peacocktv.smart.link/ctzxifz8y,,replay,tv,olympics,Paris 2024,"Olympic Trials, Road to the Olympics, Team USA",,"Women's 100m Butterfly, Women's 400m Freestyle, Men's 100m Breaststroke, Men's 400m Freestyle"
Swimming,"Torri Huske, Gretchen Walsh, Regan Smith, Claire Curzan, Alex Walsh, Katie Ledecky, Leah Smith, Katie Grimes, Michael Andrew, Nic Fink, Kieran Smith, Drew Kibler, Carson Foster","1830355, 1512902, 1420438, 1947078, 1420125, 1046885, 1045537, 2203960, 1300676, 961793, 1507961, 1507822, 1507768",,U.S. Olympic Team Trials - Swimming - Jun 15,Finals: W 100m Fly & more,2024-06-16T00:00:00Z,2024-06-16T01:00:00Z,2024-07-10T18:10:25Z,"Day 1 of the U.S. Olympic Swimming Trials includes finals of the men's and women's 400m freestyle, semis of the men's 100m breaststroke, and more.",FALSE,NBC,https://stream.nbcolympics.com/swimming-us-olympic-team-trials-june-15-finals,https://peacocktv.smart.link/88x6s03cx,,replay,tv,olympics,Paris 2024,"Olympic Trials, Road to the Olympics, Team USA",,"Women's 100m Butterfly, Women's 400m Freestyle, Men's 100m Breaststroke, Men's 400m Freestyle"
Swimming,"Luke Hobson, Drew Kibler, Carson Foster, Chase Kalisz, Bobby Finke, Kate Douglass, Lilly King, Alex Walsh, Lydia Jacoby, Ryan Murphy, Hunter Armstrong, Shaine Casas, Katie Ledecky, Simone Manuel","2203943, 1507822, 1507768, 961897, 1410340, 1420265, 1186353, 1420125, 1947254, 961968, 2008264, 1749011, 1046885, 961911",,U.S. Olympic Team Trials - Swimming - Jun 16,Heats: M&W 200m Free & more,2024-06-16T14:58:00Z,2024-06-16T18:10:00Z,2024-07-10T18:10:25Z,"Day 2 of the U.S. Olympic Swimming Trials includes heats of the men's and women's 200m freestyle, men's 400m IM, women's 100m breaststroke, and more.",FALSE,NA,https://stream.nbcolympics.com/swimming-us-olympic-team-trials-june-16-heats-live,https://peacocktv.smart.link/vqgpuz3t1,,replay,event,olympics,Paris 2024,"Olympic Trials, Road to the Olympics, Team USA",,"Men's 200m Freestyle, Men's 400m Individual Medley, Women's 100m Breaststroke, Men's 100m Backstroke, Women's 200m Freestyle"
Swimming,"Luke Hobson, Drew Kibler, Carson Foster, Chase Kalisz, Bobby Finke, Kate Douglass, Lilly King, Alex Walsh, Lydia Jacoby, Ryan Murphy, Hunter Armstrong, Shaine Casas, Katie Ledecky, Simone Manuel","2203943, 1507822, 1507768, 961897, 1410340, 1420265, 1186353, 1420125, 1947254, 961968, 2008264, 1749011, 1046885, 961911",,U.S. Olympic Team Trials - Swimming - Jun 16,Heats: M&W 200m Free & more,2024-06-16T21:00:00Z,2024-06-16T22:30:00Z,2024-07-10T18:10:25Z,"Day 2 of the U.S. Olympic Swimming Trials includes heats of the men's and women's 200m freestyle, men's 400m IM, women's 100m breaststroke, and more.",FALSE,USA,https://stream.nbcolympics.com/swimming-us-olympic-team-trials-june-16-heats-usa,https://peacocktv.smart.link/ka1pc36p4,,replay,tv,olympics,Paris 2024,"Olympic Trials, Road to the Olympics, Team USA",,"Men's 200m Freestyle, Men's 400m Individual Medley, Women's 100m Breaststroke, Men's 100m Backstroke, Women's 200m Freestyle"
Swimming,"Luke Hobson, Drew Kibler, Carson Foster, Chase Kalisz, Bobby Finke, Kate Douglass, Lilly King, Alex Walsh, Lydia Jacoby, Ryan Murphy, Hunter Armstrong, Shaine Casas, Katie Ledecky, Simone Manuel, Gretchen Walsh, Regan Smith, Torri Huske, Claire Curzan","2203943, 1507822, 1507768, 961897, 1410340, 1420265, 1186353, 1420125, 1947254, 961968, 2008264, 1749011, 1046885, 961911, 1512902, 1420438, 1830355, 1947078",,U.S. Olympic Team Trials - Swimming - Jun 16,Finals: W 100m Fly & more,2024-06-17T00:00:00Z,2024-06-17T02:10:00Z,2024-07-10T18:10:25Z,"Day 2 of the U.S. Olympic Swimming Trials includes finals of the men's 400m IM, women's 100m butterfly, and men's 100m breaststroke.",FALSE,NBC,https://stream.nbcolympics.com/swimming-us-olympic-team-trials-june-16-finals,https://peacocktv.smart.link/pmaiorakv,,replay,tv,olympics,Paris 2024,"Olympic Trials, Road to the Olympics, Team USA",,"Men's 200m Freestyle, Men's 400m Individual Medley, Women's 100m Breaststroke, Men's 100m Backstroke, Women's 200m Freestyle, Women's 100m Butterfly"
Swimming,"Katie Grimes, Regan Smith, Emma Weyant, Claire Curzan, Katharine Berkoff, Rhyan White, Bobby Finke","2203960, 1420438, 1671319, 1947078, 1507863, 1420448, 1410340",,U.S. Olympic Team Trials - Swimming - Jun 17,Heats: M 400m IM & more,2024-06-17T14:58:00Z,2024-06-17T17:20:00Z,2024-07-10T18:10:25Z,"Day 3 of the U.S. Olympic Swimming Trials includes heats of the women's 400m IM, women's 100m backstroke, and men's 800m freestyle.",FALSE,NA,https://stream.nbcolympics.com/swimming-us-olympic-team-trials-june-17-heats-live,https://peacocktv.smart.link/wdrq9hqbv,,replay,event,olympics,Paris 2024,"Olympic Trials, Road to the Olympics, Team USA",,"Women's 400m Individual Medley, Men's 100m Backstroke, Men's 800m Freestyle"
Diving,"Sarah Bacon, Kassidy Cook, Hailey Hernandez","1157106, 843964, 1662480",Women's Synchronised 3m Springboard,U.S. Olympic Team Trials - Diving - Jun 17,Trials: W 3m Synchro Prelim,2024-06-17T16:15:00Z,2024-06-17T17:02:00Z,2024-07-10T18:10:25Z,The U.S. Olympic Diving Trials begin with the preliminary round of the women's synchronized 3m springboard event.,FALSE,NA,https://stream.nbcolympics.com/diving-us-olympic-team-trials-womens-3m-synchro-prelim,https://peacocktv.smart.link/6jbkswef8,,replay,event,olympics,Paris 2024,"Olympic Trials, Road to the Olympics, Team USA",Women's Synchronised 3m Springboard Fnl,Women's Synchronised 3m Springboard
Swimming,"Katie Grimes, Regan Smith, Emma Weyant, Claire Curzan, Katharine Berkoff, Rhyan White, Bobby Finke","2203960, 1420438, 1671319, 1947078, 1507863, 1420448, 1410340",,U.S. Olympic Team Trials - Swimming - Jun 17,Heats: M 400m IM & more,2024-06-17T23:00:00Z,2024-06-18T00:00:00Z,2024-07-10T18:10:25Z,"Day 3 of the U.S. Olympic Swimming Trials includes heats of the women's 400m IM, women's 100m backstroke, and men's 800m freestyle.",FALSE,USA,https://stream.nbcolympics.com/swimming-us-olympic-team-trials-june-17-heats-usa,https://peacocktv.smart.link/7d0mwn06o,,replay,tv,olympics,Paris 2024,"Olympic Trials, Road to the Olympics, Team USA",,"Women's 400m Individual Medley, Men's 100m Backstroke, Men's 800m Freestyle"
